IL18_ngmL,OFFtoON_20230422_Mean,OFFtoON_20230422_SEM,OFFtoON_20230520_Mean,OFFtoON_20230520_SEM,ONtoOFF_20230422_Mean,ONtoOFF_20230422_SEM,ONtoOFF_20230520_Mean,ONtoOFF_20230520_SEM,ppari_Mean,ppari_SEM,ncci_Mean,ncci_SEM,R18_Mean,R18_SEM,IFNARi_Mean,IFNARi_SEM,IFNb_ngmL,ifnb_OFFtoON_Mean,ifnb_OFFtoON_SEM,ifnb_ONtoOFF_Mean,ifnb_ONtoOFF_SEM
0.01,0,0,0.008540333,0.004025952,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
0.1,0.007140843,0.002806948,0.025785667,0.003226263,0.018500797,0.003210987,0.008906667,0.002155478,0,0,0,0,0.00137998,0.000399309,0,0,0.1,0,0,0.069267623,0.013165457
0.5,0.00369743,0.002134712,0.017894,0.005681707,0.2,0.020757554,0.108325333,0.013866452,0.020505,0.002877496,0.020994667,0.007309239,0.051458967,0.012797576,0.041044,0.023696764,0.5,0.046425171,0.010005817,0.092967043,0.003530716
2,0.000395147,0.000228138,0.013759,0.006486055,0.381499167,0.022829498,0.334771333,0.020844774,0.017185333,0.008101244,0.062824333,0.009498924,0.204781967,0.02085521,0.24865,0.020978023,2,0.123929513,0.00685101,0.1506805,0.00507867
10,0.00047982,0.000277024,0.038685,0.003878093,0.901674633,0.017998489,0.751716,0.013515822,0.083206,0.006788218,0.068988,0.008665047,0.466184767,0.0310669,0.577956667,0.022198188,10,0.162203712,0.010234606,0.233113519,0.024071114
25,0.000141123,8.15E-05,0.047919667,4.16E-03,0.984051033,0.00920814,0.86823,0.02078651,0.238235,0.013833659,0.113524667,0.017876718,0.7431315,0.0260025,0.660958333,0.018756021,25,0.248036617,0.022295077,0.273304852,0.033375005
50,0.025486877,0.001524915,0.234604667,0.020789064,1,0,0.914296333,0.027177189,0.334519,0.016634648,0.387667,0.03864695,0.850520433,0.018038019,0.833276667,0.02361483,50,0.295156534,0.025881489,0.326249618,0.016240013
100,0.277053333,0.004822692,0.728231667,0.029303253,1,0,0.994808333,0.013997532,0.758081667,0.022138747,0.541567667,0.023369473,0.976467367,0.003006242,0.992543333,0.035402595,100,0.499202616,0.066976961,0.47776625,0.005618826
300,0.9731583,0.011640848,1.010386,0.027740629,1,0,1.021510667,0.00900965,1.019448,0.020784372,0.927593333,0.006707016,1.028277333,0.015642688,1.018261,0.010319406,300,0.77479939,0.035594114,0.643155325,0.015821009
1000,0.9763761,0.042263583,1.01943,0.043391124,,,1.045167,0.016314123,1.005770333,0.011735695,0.914561667,0.008806622,1.028014333,0.01517488,1.017395853,0.005850374,1000,1,0.045903071,0.96759231,0.041505948
10000,0.999999867,0.027463425,1.01803,0.020832573,,,,,,,,,,,,,10000,,,1,0.055411925
