TimeHours,Mean_cGAMP,SEM_cGAMP,Mean_IL18,SEM_IL18
1,6.7055168,0.085199359,943.5294,60.76444492
2,9.5870434,0.28892627,502.35294,21.08477234
3,7.850041,0.155349271,763.5294,22.52871463
4,7.0803324,0.229048553,547.05882,36.2765241
5,8.9308716,0.265582827,409.41176,23.23343814
6,7.5245608,0.081779161,650.58822,30.75744621
7,8.8660794,0.250789984,494.11764,17.6392178
8,8.0049224,0.191108971,574.11764,34.01607524
19,7.9137584,0.104992679,703.5294,35.09748804
20,8.5649714,0.096417232,517.64706,30.7416975
21,8.0848654,0.236148919,479.99998,26.4116949
22,7.225809,0.176540785,505.88234,25.79664897
23,8.4892088,0.25113409,534.11764,10.3368892
24,6.3932376,0.303781779,663.52938,42.92425839
